Тип объекта,Имя регистра,Тип источника,Объект,Путь,Строка,Паттерн
Регистр накопления,БонусныеБаллы,Enums,Enums/ТипыСобытийОповещений/Ext/ManagerModule.bsl,Enums/ТипыСобытийОповещений/Ext/ManagerModule.bsl,73,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,Enums,Enums/ТипыСобытийОповещений/Ext/ManagerModule.bsl,Enums/ТипыСобытийОповещений/Ext/ManagerModule.bsl,81,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,1046,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,1754,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,1796,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,2674,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,2707,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,2759,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,2807,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,2907,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3038,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3099,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3140,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3172,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3219,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3653,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,БонусныеБаллыСервер,CommonModules/БонусныеБаллыСервер/Ext/Module.bsl,3720,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,Ценообразование,CommonModules/Ценообразование/Ext/Module.bsl,31,РегистрыНакопления.БонусныеБаллы
Регистр накопления,БонусныеБаллы,CommonModules,Ценообразование,CommonModules/Ценообразование/Ext/Module.bsl,54,РегистрыНакопления.БонусныеБаллы
Регистр накопления,ВыручкаИСебестоимостьПродаж,InformationRegisters,СуммыДокументовВВалютахУчета,InformationRegisters/СуммыДокументовВВалютахУчета/Ext/ManagerModule.bsl,544,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,InformationRegisters,ЗаданияКРасчетуСебестоимости,InformationRegisters/ЗаданияКРасчетуСебестоимости/Ext/ManagerModule.bsl,286,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2517,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2526,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2551,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2560,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2585,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2594,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
Регистр накопления,ВыручкаИСебестоимостьПродаж,ChartsOfCharacteristicTypes,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl,2629,РегистрыНакопления.ВыручкаИСебестоимостьПродаж
