Тип объекта,Имя регистра,Вид поля,Поле,Синоним,Тип,Подсказка,В итогах,Проверка заполнения,XML путь
Регистр накопления,БонусныеБаллы,Измерение,БонуснаяПрограммаЛояльности,Бонусная программа лояльности,; cfg:CatalogRef.БонусныеПрограммыЛояльности,,true,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Измерение,Партнер,Клиент,; cfg:CatalogRef.Партнеры,,true,ShowError,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Ресурс,Начислено,Начислено,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Ресурс,КСписанию,К списанию,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Ресурс,Зарезервировано,Зарезервировано,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Реквизит,Сторно,Сторно,; xs:boolean,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Реквизит,ДатаНачалаДействия,Дата начала действия,; xs:dateTime,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Реквизит,ДатаКОбработке,Дата к обработке,; xs:dateTime,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаНоменклатуры,Аналитика учета номенклатуры,; cfg:CatalogRef.КлючиАналитикиУчетаНоменклатуры,Аналитика учета номенклатуры (товар и характеристика),true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ЗаказКлиента,Заказ клиента,; cfg:DocumentRef.ПервичныйДокумент; cfg:DocumentRef.ЗаявкаНаВозвратТоваровОтКлиента; cfg:DocumentRef.РеализацияТоваровУслуг; cfg:DocumentRef.АктВыполненныхРабот; cfg:DocumentRef.ЗаказКлиента; cfg:DocumentRef.ОтгрузкаТоваровКлиенту,"Заказ клиента, по которому отражена продажа товаров и услуг.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаПоПартнерам,Аналитика учета по партнерам,; cfg:CatalogRef.КлючиАналитикиУчетаПоПартнерам,"Определяет аналитику клиентов, которым реализованы товары..",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Подразделение,Подразделение,; cfg:CatalogRef.СтруктураПредприятия,"Подразделение, по которому отражены продажи",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ТипЗапасов,Тип запасов или услуга,; cfg:EnumRef.ТипыЗапасов,Тип запаса проданного товара: товар или комиссионный товар,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ВидЗапасов,Вид запасов,; cfg:CatalogRef.ВидыЗапасов,Вид запасов поступившего товара,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,РазделУчета,Раздел учета,; cfg:EnumRef.РазделыУчетаСебестоимостиТоваров,Место нахождения (учета) номенклатуры и расходов.,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Партия,Партия,; cfg:DefinedType.ДокументПартии,Партия номенклатуры,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаПартий,Аналитика учета партий,; cfg:CatalogRef.КлючиАналитикиУчетаПартий,Аналитика учета партии номенклатуры,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаФинансовогоУчета,Аналитика финансового учета,; cfg:CatalogRef.СтруктураПредприятия; cfg:CatalogRef.Пользователи; cfg:CatalogRef.СделкиСКлиентами; cfg:CatalogRef.ГруппыАналитическогоУчетаНоменклатуры,Аналитика финансового учета номенклатуры,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ВидДеятельностиНДС,Вид деятельности НДС,; cfg:EnumRef.ТипыНалогообложенияНДС,Налогообложение НДС,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Менеджер,Менеджер,; cfg:CatalogRef.Пользователи,,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Склад,Склад / комиссионер / подразделение,; cfg:CatalogRef.Организации; cfg:CatalogRef.СтруктураПредприятия; cfg:CatalogRef.Партнеры; cfg:CatalogRef.Склады,"Склад, на котором учитываются товары, или комиссионер, которому переданы товары на комиссию, или подразделение в котором числятся материалы.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Соглашение,Соглашение,; cfg:CatalogRef.СоглашенияСКлиентами,"Соглашение, в рамках которого оформлена продажа",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Договор,Договор,; cfg:CatalogRef.ДоговорыМеждуОрганизациями; cfg:CatalogRef.ДоговорыКонтрагентов,"Договор с контрагентом, в рамках которого оформлена продажа",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ХозяйственнаяОперация,Хозяйственная операция,; cfg:EnumRef.ХозяйственныеОперации,"Хозяйственная операция, по которой выполнены движения по регистру.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаНаборов,Аналитика учета наборов,; cfg:CatalogRef.КлючиАналитикиУчетаНаборов,Аналитика учета номенклатуры (товар и характеристика),true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,НаправлениеДеятельностиКонтрагента,Направление деятельности контрагента,; cfg:CatalogRef.НаправленияДеятельности,"Направление деятельности, к которому относится контрагент в рамках управленческого учета.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,НаправлениеДеятельностиНоменклатуры,Направление деятельности номенклатуры,; cfg:CatalogRef.НаправленияДеятельности,"Направление деятельности, к которому относится номенклатура в рамках управленческого учета.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,Количество,Количество,; xs:decimal,Количество проданных товаров,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаВыручки,Сумма выручки с НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Выручка от продажи товаров с НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаВыручкиБезНДС,Сумма выручки без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Выручка от продажи товаров без НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ВыручкаПостояннаяРазница,Сумма выручки (ПР),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ВыручкаВременнаяРазница,Сумма выручки (ВР),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,Стоимость,Стоимость с НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Стоимость проданных товаров с НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СтоимостьБезНДС,Стоимость без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Стоимость проданных товаров без НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
