Тип объекта,Имя регистра,Синоним,Контур учета,Тип хранения,Назначение,Что хранит,Ключевая аналитика,Ресурсы/значения,Реквизиты/признаки,Кто пишет,Подтвержденные источники,Когда меняется,Связи,Уверенность,XML путь,Ошибка разбора
Регистр накопления,БонусныеБаллы,Бонусные баллы,Заказы / резервы / обеспечение,Остатки,Фиксирует остатки в контуре 'Заказы / резервы / обеспечение': Бонусные баллы.,"Аналитики: БонуснаяПрограммаЛояльности (Бонусная программа лояльности), Партнер (Клиент). Значения: Начислено, КСписанию (К списанию), Зарезервировано. Признаки: Сторно, ДатаНачалаДействия (Дата начала действия), ДатаКОбработке (Дата к обработке).","БонуснаяПрограммаЛояльности (Бонусная программа лояльности), Партнер (Клиент)","Начислено, КСписанию (К списанию), Зарезервировано","Сторно, ДатаНачалаДействия (Дата начала действия), ДатаКОбработке (Дата к обработке)",17 CommonModules; 2 Enums,Enums:Enums/ТипыСобытийОповещений/Ext/ManagerModule.bsl:73; Enums:Enums/ТипыСобытийОповещений/Ext/ManagerModule.bsl:81; CommonModules:БонусныеБаллыСервер:1046; CommonModules:БонусныеБаллыСервер:1754; CommonModules:БонусныеБаллыСервер:1796; CommonModules:БонусныеБаллыСервер:2674; CommonModules:БонусныеБаллыСервер:2707; CommonModules:БонусныеБаллыСервер:2759; CommonModules:БонусныеБаллыСервер:2807; CommonModules:БонусныеБаллыСервер:2907; CommonModules:БонусныеБаллыСервер:3038; CommonModules:БонусныеБаллыСервер:3099; CommonModules:БонусныеБаллыСервер:3140; CommonModules:БонусныеБаллыСервер:3172; CommonModules:БонусныеБаллыСервер:3219,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/БонусныеБаллы.xml,
Регистр накопления,ВыручкаИСебестоимостьПродаж,Выручка и себестоимость продаж,Склад / товарные остатки,Обороты,Фиксирует обороты в контуре 'Склад / товарные остатки': Выручка и себестоимость продаж.,"Аналитики: АналитикаУчетаНоменклатуры (Аналитика учета номенклатуры), ЗаказКлиента (Заказ клиента), АналитикаУчетаПоПартнерам (Аналитика учета по партнерам), Подразделение, ТипЗапасов (Тип запасов или услуга), ВидЗапасов (Вид запасов), РазделУчета (Раздел учета), Партия, … +11. Значения: Количество, СуммаВыручки (Сумма выручки с НДС), СуммаВыручкиБезНДС (Сумма выручки без НДС), ВыручкаПостояннаяРазница (Сумма выручки (ПР)), ВыручкаВременнаяРазница (Сумма выручки (ВР)), Стоимость (Стоимость с НДС), СтоимостьБезНДС (Стоимость без НДС), ДопРасходы (Доп. расходы), … +32. Признаки: НалогообложениеНДС (Налогообложение НДС), ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаВВалютеВзаиморасчетов (Сумма в валюте взаиморасчетов), СуммаБезНДСВВалютеВзаиморасчетов (Сумма без НДС в валюте взаиморасчетов), ВалютаДокумента (Валюта документа), СуммаВВалютеДокумента (Сумма в валюте документа), … +16.","АналитикаУчетаНоменклатуры (Аналитика учета номенклатуры), ЗаказКлиента (Заказ клиента), АналитикаУчетаПоПартнерам (Аналитика учета по партнерам), Подразделение, ТипЗапасов (Тип запасов или услуга), ВидЗапасов (Вид запасов), РазделУчета (Раздел учета), Партия, АналитикаУчетаПартий (Аналитика учета партий), АналитикаФинансовогоУчета (Аналитика финансового учета), ВидДеятельностиНДС (Вид деятельности НДС), Менеджер, … +7","Количество, СуммаВыручки (Сумма выручки с НДС), СуммаВыручкиБезНДС (Сумма выручки без НДС), ВыручкаПостояннаяРазница (Сумма выручки (ПР)), ВыручкаВременнаяРазница (Сумма выручки (ВР)), Стоимость (Стоимость с НДС), СтоимостьБезНДС (Стоимость без НДС), ДопРасходы (Доп. расходы), ДопРасходыБезНДС (Доп. расходы без НДС), СтоимостьУпр (Стоимость (упр.)), СтоимостьРегл (Стоимость (регл.)), СтоимостьЗабалансовая (Стоимость забалансовая), … +28","НалогообложениеНДС (Налогообложение НДС), ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаВВалютеВзаиморасчетов (Сумма в валюте взаиморасчетов), СуммаБезНДСВВалютеВзаиморасчетов (Сумма без НДС в валюте взаиморасчетов), ВалютаДокумента (Валюта документа), СуммаВВалютеДокумента (Сумма в валюте документа), СуммаБезНДСВВалютеДокумента (Сумма без НДС в валюте документа), ИсточникГФУНоменклатуры (Источник ГФУ номенклатуры), ДокументДвижения (Документ движения), РасчетСебестоимости (Расчет себестоимости), … +12",7 AccumulationRegisters; 11 ChartsOfCharacteristicTypes; 57 CommonModules; 1 DataProcessors; 1 Documents; 2 InformationRegisters; 1 Reports,InformationRegisters:СуммыДокументовВВалютахУчета:544; InformationRegisters:ЗаданияКРасчетуСебестоимости:286; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2517; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2526; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2551; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2560; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2585; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2594; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2629; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2657; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2666; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2695; ChartsOfCharacteristicTypes:ChartsOfCharacteristicTypes/СтатьиАктивовПассивов/Ext/ManagerModule.bsl:2704; DataProcessors:ТестированиеОперацийЗакрытийМесяца:243; AccumulationRegisters:ВыручкаИСебестоимостьПродаж:71,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml,
Регистр накопления,ДвиженияДенежныеСредстваДоходыРасходы,Движения Денежные средства - Доходы/Расходы,Денежные средства / казначейство,Обороты,Фиксирует обороты в контуре 'Денежные средства / казначейство': Движения Денежные средства - Доходы/Расходы.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиДС (Направление деятельности денежных средств), ПодразделениеДоходовРасходов (Подразделение доходов/расходов), ДенежныеСредства (Денежные средства), ТипДенежныхСредств (Тип денежных средств), СтатьяДвиженияДенежныхСредств (Статья движения денежных средств), … +9. Значения: Сумма (Сумма (упр.)), СуммаРегл (Сумма (регл.)), СуммаВВалюте (Сумма), СуммаКВыплатеВРамкахЛимита (Сумма к выплате (в рамках лимита)), СуммаКВыплатеСверхЛимита (Сумма к выплате (сверх лимита)), СуммаНДС (Сумма НДС (упр.)), СуммаНДСРегл (Сумма НДС (регл.)), СуммаНДСВВалютеПлатежа (Сумма НДС). Признаки: ИсточникГФУДенежныхСредств (Источник ГФУ денежных средств), ИсточникГФУДоходовРасходов (Источник ГФУ доходов/расходов), СтавкаНДС (Ставка НДС), Сторно, ЗаявкаНаРасходованиеДенежныхСредств (Заявка на расходование денежных средств).","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиДС (Направление деятельности денежных средств), ПодразделениеДоходовРасходов (Подразделение доходов/расходов), ДенежныеСредства (Денежные средства), ТипДенежныхСредств (Тип денежных средств), СтатьяДвиженияДенежныхСредств (Статья движения денежных средств), СтатьяКалькуляции (Статья калькуляции), ТипПлатежаФЗ275 (Тип платежа 275-ФЗ), Валюта, НаправлениеДеятельностиСтатьи (Направление деятельности статьи), … +5","Сумма (Сумма (упр.)), СуммаРегл (Сумма (регл.)), СуммаВВалюте (Сумма), СуммаКВыплатеВРамкахЛимита (Сумма к выплате (в рамках лимита)), СуммаКВыплатеСверхЛимита (Сумма к выплате (сверх лимита)), СуммаНДС (Сумма НДС (упр.)), СуммаНДСРегл (Сумма НДС (регл.)), СуммаНДСВВалютеПлатежа (Сумма НДС)","ИсточникГФУДенежныхСредств (Источник ГФУ денежных средств), ИсточникГФУДоходовРасходов (Источник ГФУ доходов/расходов), СтавкаНДС (Ставка НДС), Сторно, ЗаявкаНаРасходованиеДенежныхСредств (Заявка на расходование денежных средств)",7 CommonModules; 1 InformationRegisters,InformationRegisters:ЗаданияКЗакрытиюМесяца:289; CommonModules:УправленческийУчетПроведениеСервер:29; CommonModules:УправленческийУчетПроведениеСервер:42; CommonModules:УправленческийУчетПроведениеСервер:106; CommonModules:ЗакрытиеМесяцаЛокализация:272; CommonModules:ИсточникиДанныхПовтИсп:68; CommonModules:ИсточникиДанныхПовтИсп:68; CommonModules:УправлениеДоступомПереопределяемый:457,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияДенежныеСредстваДоходыРасходы.xml,
Регистр накопления,ДвиженияДенежныеСредстваКонтрагент,Движения Денежные средства - Контрагент,Денежные средства / казначейство,Обороты,Фиксирует обороты в контуре 'Денежные средства / казначейство': Движения Денежные средства - Контрагент.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиДС (Направление деятельности денежных средств), ДенежныеСредства (Денежные средства), ТипДенежныхСредств (Тип денежных средств), СтатьяДвиженияДенежныхСредств (Статья движения денежных средств), ВалютаПлатежа (Валюта платежа), … +9. Значения: СуммаОплаты (Сумма оплаты (упр.)), СуммаОплатыРегл (Сумма оплаты (регл.)), СуммаОплатыВВалютеПлатежа (Сумма оплаты), СуммаПостоплаты (Сумма постоплаты (упр.)), СуммаПостоплатыРегл (Сумма постоплаты (регл.)), СуммаПостоплатыВВалютеПлатежа (Сумма постоплаты), СуммаПредоплаты (Сумма предоплаты (упр.)), СуммаПредоплатыРегл (Сумма предоплаты (регл.)), … +6. Признаки: ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаОплатыВВалютеВзаиморасчетов (Сумма оплаты в валюте взаиморасчетов), СуммаПостоплатыВВалютеВзаиморасчетов (Сумма постоплаты в валюте взаиморасчетов), СуммаПредоплатыВВалютеВзаиморасчетов (Сумма предоплаты в валюте взаиморасчетов), ИсточникГФУДенежныхСредств (Источник ГФУ денежных средств), ИсточникГФУРасчетов (Источник ГФУ расчетов), … +4.","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиДС (Направление деятельности денежных средств), ДенежныеСредства (Денежные средства), ТипДенежныхСредств (Тип денежных средств), СтатьяДвиженияДенежныхСредств (Статья движения денежных средств), ВалютаПлатежа (Валюта платежа), СтатьяКалькуляции (Статья калькуляции), ТипПлатежаФЗ275 (Тип платежа 275-ФЗ), НаправлениеДеятельностиКонтрагента (Направление деятельности контрагента), Партнер, … +5","СуммаОплаты (Сумма оплаты (упр.)), СуммаОплатыРегл (Сумма оплаты (регл.)), СуммаОплатыВВалютеПлатежа (Сумма оплаты), СуммаПостоплаты (Сумма постоплаты (упр.)), СуммаПостоплатыРегл (Сумма постоплаты (регл.)), СуммаПостоплатыВВалютеПлатежа (Сумма постоплаты), СуммаПредоплаты (Сумма предоплаты (упр.)), СуммаПредоплатыРегл (Сумма предоплаты (регл.)), СуммаПредоплатыВВалютеПлатежа (Сумма предоплаты), СуммаКВыплатеВРамкахЛимита (Сумма к выплате (в рамках лимита)), СуммаКВыплатеСверхЛимита (Сумма к выплате (сверх лимита)), СуммаНДС (Сумма НДС (упр.)), … +2","ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаОплатыВВалютеВзаиморасчетов (Сумма оплаты в валюте взаиморасчетов), СуммаПостоплатыВВалютеВзаиморасчетов (Сумма постоплаты в валюте взаиморасчетов), СуммаПредоплатыВВалютеВзаиморасчетов (Сумма предоплаты в валюте взаиморасчетов), ИсточникГФУДенежныхСредств (Источник ГФУ денежных средств), ИсточникГФУРасчетов (Источник ГФУ расчетов), ОтложенноеПроведение (Отложенное проведение), СтавкаНДС (Ставка НДС), Сторно, ЗаявкаНаРасходованиеДенежныхСредств (Заявка на расходование денежных средств)",1 AccumulationRegisters; 7 CommonModules; 1 DataProcessors; 1 InformationRegisters,InformationRegisters:ЗаданияНеоперативногоДопроведенияДокументов:1514; DataProcessors:ТестированиеОперацийЗакрытийМесяца:236; AccumulationRegisters:ДвиженияДенежныеСредстваКонтрагент:124; CommonModules:УправленческийУчетПроведениеСервер:27; CommonModules:УправленческийУчетПроведениеСервер:89; CommonModules:УправленческийУчетПроведениеСервер:2126; CommonModules:ИсточникиДанныхПовтИсп:69; CommonModules:ИсточникиДанныхПовтИсп:69; CommonModules:УправлениеДоступомПереопределяемый:458; CommonModules:ПодарочныеСертификатыСервер:1166,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияДенежныеСредстваКонтрагент.xml,
Регистр накопления,ДвиженияДенежныхСредств,Движения Денежные средства - Денежные средства,Денежные средства / казначейство,Обороты,Фиксирует обороты в контуре 'Денежные средства / казначейство': Движения Денежные средства - Денежные средства.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельности (Направление деятельности), ДенежныеСредства (Денежные средства), ТипДенежныхСредств (Тип денежных средств), СтатьяДвиженияДенежныхСредств (Статья движения денежных средств), СтатьяКалькуляции (Статья калькуляции), … +7. Значения: Сумма (Сумма (упр.)), СуммаРегл (Сумма (регл.)), СуммаВВалюте (Сумма), СуммаКВыплатеВРамкахЛимита (Сумма к выплате (в рамках лимита)), СуммаКВыплатеСверхЛимита (Сумма к выплате (сверх лимита)), СуммаВКорВалюте (Сумма в кор. валюте). Признаки: ИсточникГФУДенежныхСредств (Источник ГФУ денежных средств), ИсточникКорГФУДенежныхСредств (Источник кор. ГФУ денежных средств), Сторно, ЗаявкаНаРасходованиеДенежныхСредств (Заявка на расходование денежных средств).","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельности (Направление деятельности), ДенежныеСредства (Денежные средства), ТипДенежныхСредств (Тип денежных средств), СтатьяДвиженияДенежныхСредств (Статья движения денежных средств), СтатьяКалькуляции (Статья калькуляции), ТипПлатежаФЗ275 (Тип платежа 275-ФЗ), Валюта, КорДенежныеСредства (Кор. денежные средства), КорТипДенежныхСредств (Кор. тип денежных средств), … +3","Сумма (Сумма (упр.)), СуммаРегл (Сумма (регл.)), СуммаВВалюте (Сумма), СуммаКВыплатеВРамкахЛимита (Сумма к выплате (в рамках лимита)), СуммаКВыплатеСверхЛимита (Сумма к выплате (сверх лимита)), СуммаВКорВалюте (Сумма в кор. валюте)","ИсточникГФУДенежныхСредств (Источник ГФУ денежных средств), ИсточникКорГФУДенежныхСредств (Источник кор. ГФУ денежных средств), Сторно, ЗаявкаНаРасходованиеДенежныхСредств (Заявка на расходование денежных средств)",4 AccumulationRegisters; 5 CommonModules,AccumulationRegisters:ДвиженияДенежныхСредств:35; AccumulationRegisters:ДвиженияДенежныхСредств:39; AccumulationRegisters:ДвиженияДенежныхСредств:44; AccumulationRegisters:ДвиженияДенежныхСредств:48; CommonModules:УправленческийУчетПроведениеСервер:28; CommonModules:УправленческийУчетПроведениеСервер:99; CommonModules:ИсточникиДанныхПовтИсп:70; CommonModules:ИсточникиДанныхПовтИсп:70; CommonModules:УправлениеДоступомПереопределяемый:459,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияДенежныхСредств.xml,
Регистр накопления,ДвиженияДоходыРасходыПрочиеАктивыПассивы,Движения Доходы/Расходы - Прочие активы/пассивы,Взаиморасчеты,Обороты,Фиксирует обороты в контуре 'Взаиморасчеты': Движения Доходы/Расходы - Прочие активы/пассивы.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельности (Направление деятельности), Статья, АналитикаДоходов (Аналитика доходов), АналитикаРасходов (Аналитика расходов), АналитикаАктивовПассивов (Аналитика активов/пассивов), … +10. Значения: Сумма (Сумма с НДС (упр.)), СуммаРегл (Сумма без НДС (регл.)), СуммаУпр (Сумма без НДС (упр.)). Признаки: Валюта, СуммаВВалюте (Сумма в валюте), ВидОперацииПоЗарплате (Вид операции по зарплате), КорОрганизация (Кор организация), СпособРасчетов (Способ расчетов), НеОблагаетсяНДФЛ (Не облагается НДФЛ), … +4.","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельности (Направление деятельности), Статья, АналитикаДоходов (Аналитика доходов), АналитикаРасходов (Аналитика расходов), АналитикаАктивовПассивов (Аналитика активов/пассивов), ГруппаФинансовогоУчета (Группа финансового учета), Контрагент, КорПодразделение (Кор. подразделение), КорНаправлениеДеятельности (Кор. направление деятельности), … +6","Сумма (Сумма с НДС (упр.)), СуммаРегл (Сумма без НДС (регл.)), СуммаУпр (Сумма без НДС (упр.))","Валюта, СуммаВВалюте (Сумма в валюте), ВидОперацииПоЗарплате (Вид операции по зарплате), КорОрганизация (Кор организация), СпособРасчетов (Способ расчетов), НеОблагаетсяНДФЛ (Не облагается НДФЛ), ДокументДвижения (Документ движения), РасчетСебестоимости (Расчет себестоимости), Сторно, ВидИсточника (Вид источника)",11 CommonModules; 10 Documents; 1 InformationRegisters,InformationRegisters:ЗаданияКЗакрытиюМесяца:294; Documents:РаспределениеПрочихЗатрат:243; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1405; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1406; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1407; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1408; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1409; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1410; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1411; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1412; Documents:РаспределениеДоходовПоНаправлениямДеятельности:1413; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:25233; CommonModules:РасчетСебестоимостиПрикладныеАлгоритмы:16630; CommonModules:УправленческийУчетПроведениеСервер:30; CommonModules:УправленческийУчетПроведениеСервер:43,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияДоходыРасходыПрочиеАктивыПассивы.xml,
Регистр накопления,ДвиженияКонтрагентДоходыРасходы,Движения Контрагент - Доходы/Расходы,Взаиморасчеты,Обороты,Фиксирует обороты в контуре 'Взаиморасчеты': Движения Контрагент - Доходы/Расходы.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиКонтрагента (Направление деятельности контрагента), Партнер, Контрагент, Договор, ОбъектРасчетов (Объект расчетов), … +5. Значения: Сумма, СуммаБезНДС (Сумма без НДС), СуммаРегл (Сумма регл.), СуммаРеглБезНДС (Сумма регл. без НДС). Признаки: Валюта, СуммаВВалюте (Сумма в валюте), СуммаБезНДСВВалюте (Сумма без НДС в валюте), ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаВВалютеВзаиморасчетов (Сумма в валюте взаиморасчетов), СуммаБезНДСВВалютеВзаиморасчетов (Сумма без НДС в валюте взаиморасчетов), … +3.","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиКонтрагента (Направление деятельности контрагента), Партнер, Контрагент, Договор, ОбъектРасчетов (Объект расчетов), НаправлениеДеятельностиСтатьи (Направление деятельности статьи), СтатьяДоходовРасходов (Статья), АналитикаДоходов (Аналитика доходов), АналитикаРасходов (Аналитика расходов), … +1","Сумма, СуммаБезНДС (Сумма без НДС), СуммаРегл (Сумма регл.), СуммаРеглБезНДС (Сумма регл. без НДС)","Валюта, СуммаВВалюте (Сумма в валюте), СуммаБезНДСВВалюте (Сумма без НДС в валюте), ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаВВалютеВзаиморасчетов (Сумма в валюте взаиморасчетов), СуммаБезНДСВВалютеВзаиморасчетов (Сумма без НДС в валюте взаиморасчетов), ИсточникГФУРасчетов (Источник ГФУ расчетов), ИдентификаторФинЗаписи (Идентификатор фин. записи), Сторно",7 CommonModules; 1 DataProcessors; 2 Documents; 1 InformationRegisters,InformationRegisters:СуммыДокументовВВалютахУчета:547; DataProcessors:ТестированиеОперацийЗакрытийМесяца:238; Documents:РасчетПроцентныхРасходовДисконтирования:1165; Documents:РасчетПроцентныхРасходовДисконтирования:1229; CommonModules:УправленческийУчетПроведениеСервер:33; CommonModules:УправленческийУчетПроведениеСервер:44; CommonModules:УправленческийУчетПроведениеСервер:120; CommonModules:ЗакрытиеМесяцаЛокализация:274; CommonModules:ИсточникиДанныхПовтИсп:72; CommonModules:ИсточникиДанныхПовтИсп:72; CommonModules:УправлениеДоступомПереопределяемый:461,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияКонтрагентДоходыРасходы.xml,
Регистр накопления,ДвиженияКонтрагентКонтрагент,Движения Контрагент - Контрагент,Взаиморасчеты,Обороты,Фиксирует обороты в контуре 'Взаиморасчеты': Движения Контрагент - Контрагент.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельности (Направление деятельности), Партнер, Контрагент, Договор, ОбъектРасчетов (Объект расчетов), … +7. Значения: Сумма, СуммаБезНДС (Сумма без НДС), СуммаРегл (Сумма регл.), СуммаРеглБезНДС (Сумма регл. без НДС). Признаки: Валюта, СуммаВВалюте (Сумма в валюте), СуммаБезНДСВВалюте (Сумма без НДС в валюте), ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаВВалютеВзаиморасчетов (Сумма в валюте взаиморасчетов), СуммаБезНДСВВалютеВзаиморасчетов (Сумма без НДС в валюте взаиморасчетов), … +6.","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельности (Направление деятельности), Партнер, Контрагент, Договор, ОбъектРасчетов (Объект расчетов), КорНаправлениеДеятельности (Кор. направление деятельности), КорПартнер (Кор. партнер), КорКонтрагент (Кор. контрагент), КорДоговор (Кор. договор), … +3","Сумма, СуммаБезНДС (Сумма без НДС), СуммаРегл (Сумма регл.), СуммаРеглБезНДС (Сумма регл. без НДС)","Валюта, СуммаВВалюте (Сумма в валюте), СуммаБезНДСВВалюте (Сумма без НДС в валюте), ВалютаВзаиморасчетов (Валюта взаиморасчетов), СуммаВВалютеВзаиморасчетов (Сумма в валюте взаиморасчетов), СуммаБезНДСВВалютеВзаиморасчетов (Сумма без НДС в валюте взаиморасчетов), КорВалютаВзаиморасчетов (Кор. валюта взаиморасчетов), КорСуммаВВалютеВзаиморасчетов (Кор. сумма в валюте взаиморасчетов), КорСуммаБезНДСВВалютеВзаиморасчетов (Кор сумма без НДС в валюте взаиморасчетов), ИсточникГФУРасчетов (Источник ГФУ расчетов), … +2",8 CommonModules; 1 DataProcessors; 2 InformationRegisters,InformationRegisters:СуммыДокументовВВалютахУчета:548; InformationRegisters:ЗаданияНеоперативногоДопроведенияДокументов:1515; DataProcessors:ТестированиеОперацийЗакрытийМесяца:237; CommonModules:УправленческийУчетПроведениеСервер:34; CommonModules:УправленческийУчетПроведениеСервер:127; CommonModules:УправленческийУчетПроведениеСервер:391; CommonModules:УправленческийУчетПроведениеСервер:2153; CommonModules:УправленческийУчетПроведениеСервер:3139; CommonModules:ИсточникиДанныхПовтИсп:73; CommonModules:ИсточникиДанныхПовтИсп:73; CommonModules:УправлениеДоступомПереопределяемый:462,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияКонтрагентКонтрагент.xml,
Регистр накопления,ДвиженияНоменклатураДоходыРасходы,Движения Номенклатура - Доходы/Расходы,Склад / товарные остатки,Обороты,Фиксирует обороты в контуре 'Склад / товарные остатки': Движения Номенклатура - Доходы/Расходы.,"Аналитики: ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиНоменклатуры (Направление деятельности номенклатуры), АналитикаУчетаНоменклатуры (Аналитика учета номенклатуры), Склад (Склад / комиссионер / подразделение), ТипЗапасов (Тип запасов), ВидЗапасов (Вид запасов), … +5. Значения: Количество, Стоимость, СтоимостьБезНДС (Стоимость без НДС), СтоимостьУпр (Стоимость (упр.)), СтоимостьРегл (Стоимость регл.), СтоимостьЗабалансовая (Стоимость забалансовая), СтоимостьЗабалансоваяРегл (Стоимость забалансовая (регл.)), ДопРасходы (Сумма дополнительных расходов), … +18. Признаки: ИсточникГФУНоменклатуры (Источник ГФУ номенклатуры), ДокументДвижения (Документ движения), РасчетПартий (Расчет партий), РасчетСебестоимости (Расчет себестоимости), Сторно, ВидИсточника (Вид источника).","ХозяйственнаяОперация (Хозяйственная операция), Организация, Подразделение, НаправлениеДеятельностиНоменклатуры (Направление деятельности номенклатуры), АналитикаУчетаНоменклатуры (Аналитика учета номенклатуры), Склад (Склад / комиссионер / подразделение), ТипЗапасов (Тип запасов), ВидЗапасов (Вид запасов), НаправлениеДеятельностиСтатьи (Направление деятельности статьи), СтатьяДоходовРасходов (Статья), АналитикаДоходов (Аналитика доходов), АналитикаРасходов (Аналитика расходов), … +1","Количество, Стоимость, СтоимостьБезНДС (Стоимость без НДС), СтоимостьУпр (Стоимость (упр.)), СтоимостьРегл (Стоимость регл.), СтоимостьЗабалансовая (Стоимость забалансовая), СтоимостьЗабалансоваяРегл (Стоимость забалансовая (регл.)), ДопРасходы (Сумма дополнительных расходов), ДопРасходыБезНДС (Сумма дополнительных расходов без НДС), ДопРасходыУпр (Доп. расходы (упр.)), ДопРасходыРегл (Доп. расходы (регл.)), ПостатейныеПостоянныеСНДС (Постатейные постоянные с НДС), … +14","ИсточникГФУНоменклатуры (Источник ГФУ номенклатуры), ДокументДвижения (Документ движения), РасчетПартий (Расчет партий), РасчетСебестоимости (Расчет себестоимости), Сторно, ВидИсточника (Вид источника)",26 CommonModules; 1 DataProcessors,DataProcessors:ТестированиеОперацийЗакрытийМесяца:269; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:2885; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:4549; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:8477; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:18050; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:18532; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:23466; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:23548; CommonModules:РасчетСебестоимостиКорректировкаСтоимости:25234; CommonModules:РасчетСебестоимостиПовтИсп:2467; CommonModules:РасчетСебестоимостиПовтИсп:2844; CommonModules:РасчетСебестоимостиПрикладныеАлгоритмы:210; CommonModules:РасчетСебестоимостиПрикладныеАлгоритмы:16635; CommonModules:УправленческийУчетПроведениеСервер:31; CommonModules:УправленческийУчетПроведениеСервер:76,При проведении/отмене проведения документов или расчетных обработках.,см. контур учета и источники записи,Высокая,AccumulationRegisters/ДвиженияНоменклатураДоходыРасходы.xml,
